IATA,lat,lon,flight_count,origin_flight_count,dest_flight_count,avg_flight_time,avg_actual_elapsed_time,avg_scheduled_elapsed_time,avg_air_time,avg_distance,avg_dep_delay,avg_arr_delay,cancelled_origin_count,diverted_origin_count,unique_destinations,unique_origins,unique_connections
DAL,32.84711389,-96.85177222,197292,98652,98640,61.33,61.33,61.34,49.71,485.53,10.18,8.46,2722,161,17,17,34
FLL,26.07258333,-80.15275,192660,96314,96346,143.37,143.37,144.25,121.75,1391.83,12.49,11.09,1644,368,35,36,71
JFK,40.63975111,-73.77892556,181029,90527,90502,260.2,260.2,261.49,223.74,2695.92,10.07,8.28,2504,212,35,34,69
AUS,30.19453278,-97.66987194,173976,87037,86939,96.8,96.8,97.15,79.91,863.74,7.31,8.85,1612,145,36,37,73
SNA,33.67565861,-117.8682225,163364,81710,81654,134.8,134.8,134.76,114.23,1384.73,7.81,7.92,2902,198,23,23,46
SAT,29.53369444,-98.46977778,153554,76770,76784,93.21,93.21,93.97,77.05,846.07,7.17,8.87,1071,129,26,26,52
SMF,38.69542167,-121.5907669,150881,75439,75442,105.22,105.22,106.47,90.52,1073.15,10.44,10.4,724,106,19,19,38
ABQ,35.04022222,-106.6091944,147463,73723,73740,99.92,99.92,101.85,84.04,963.37,8.84,9.48,823,182,28,29,57
CMH,39.99798528,-82.89188278,146076,73014,73062,105.96,105.96,106.12,87.32,923.82,8.39,9.44,2250,179,31,30,61
ONT,34.056,-117.6011944,141129,70473,70656,98.17,98.17,100.11,83.68,967.23,9.51,10.85,1283,84,19,21,40
RDU,35.87763889,-78.78747222,140053,70031,70022,101.45,101.45,102.07,82.06,813.8,7.94,9.89,2236,213,27,27,54
IND,39.71732917,-86.29438417,139471,69732,69739,96.7,96.7,96.53,76.45,794.37,8.2,10.13,1926,198,27,28,55
BDL,41.93887417,-72.68322833,136857,68474,68383,140.08,140.08,141.02,119.37,1262.34,7.99,9.17,2149,219,33,36,69
RNO,39.49857611,-119.7680647,120335,60170,60165,95.85,95.85,97.1,79.77,907.42,10.34,10.69,725,128,22,23,45
BUR,34.20061917,-118.3584969,111172,55589,55583,75.0,75.0,75.88,61.04,629.13,10.56,10.91,1454,98,10,10,20
PVD,41.72399917,-71.42822111,97840,48919,48921,117.22,117.22,118.3,99.51,999.64,8.25,9.26,1021,197,24,23,47
ELP,31.80666667,-106.3778056,96685,48346,48339,91.07,91.07,92.67,76.08,872.06,8.21,9.12,516,133,17,18,35
JAX,30.49405556,-81.68786111,95379,47692,47687,104.25,104.25,105.61,86.39,922.82,8.33,9.53,742,163,24,23,47
SJU,18.43941667,-66.00183333,93140,46559,46581,227.45,227.45,230.24,202.96,2477.13,8.57,8.7,957,179,25,25,50
SDF,38.17438889,-85.736,90770,45345,45425,83.24,83.24,84.17,67.05,654.95,7.51,8.59,869,114,25,24,49
PBI,26.68316194,-80.09559417,90014,45011,45003,150.2,150.2,150.74,129.26,1466.45,10.48,11.14,862,242,23,24,47
ANC,61.17432028,-149.9961856,83186,41589,41597,156.29,156.29,157.53,139.56,1770.95,10.58,12.93,2181,155,24,25,49
BHM,33.56294306,-86.75354972,81592,40764,40828,78.28,78.28,79.63,62.39,619.04,7.21,7.44,651,99,25,27,52
OKC,35.39308833,-97.60073389,80256,40125,40131,83.85,83.85,84.57,68.33,729.59,7.42,9.9,619,81,17,15,32
TUS,32.11608333,-110.9410278,78940,39469,39471,99.57,99.57,99.39,81.2,926.71,7.54,10.72,786,53,16,17,33
TUL,36.19837222,-95.88824167,77765,38848,38917,82.82,82.82,83.39,66.23,680.39,8.12,9.91,678,97,15,15,30
BUF,42.94052472,-78.73216667,75957,37978,37979,87.21,87.21,85.95,67.79,642.83,9.47,11.99,1746,153,20,19,39
OMA,41.30251861,-95.89417306,68346,34156,34190,100.02,100.02,101.03,82.7,897.36,8.57,10.65,487,63,12,12,24
RIC,37.50516667,-77.31966667,67831,33907,33924,91.21,91.21,91.54,71.88,671.01,7.33,8.89,1512,75,18,16,34
ORF,36.89461111,-76.20122222,63907,31937,31970,103.69,103.69,103.59,84.35,807.56,6.9,9.68,1148,98,16,15,31
MKE,42.94722222,-87.89658333,61634,30818,30816,94.78,94.78,95.56,74.76,756.48,5.26,8.67,1106,71,15,15,30
GSO,36.09774694,-79.9372975,60395,30167,30228,87.8,87.8,87.67,66.85,622.95,7.89,10.4,1123,86,14,13,27
ROC,43.11886611,-77.67238389,57722,28844,28878,85.69,85.69,84.18,66.33,625.5,9.45,11.96,1453,135,14,14,28
RSW,26.53616667,-81.75516667,57420,28703,28717,144.88,144.88,145.86,123.76,1407.34,8.21,9.41,389,100,23,23,46
HNL,21.31869111,-157.9224072,56236,28129,28107,293.07,293.07,293.16,268.86,3927.13,5.33,5.57,319,90,17,17,34
GEG,47.61985556,-117.5338425,53500,26745,26755,86.99,86.99,88.24,72.09,793.03,8.1,10.27,494,52,12,12,24
MHT,42.93451639,-71.43705583,53353,26676,26677,103.31,103.31,105.91,86.08,852.1,10.31,11.71,593,117,13,13,26
LIT,34.72939611,-92.22424556,53166,26574,26592,72.6,72.6,74.2,56.89,549.85,7.61,8.74,504,69,10,10,20
ALB,42.74811944,-73.80297861,50703,25327,25376,110.2,110.2,110.61,91.11,903.6,7.16,10.94,843,101,14,17,31
COS,38.80580556,-104.70025,48958,24477,24481,106.39,106.39,105.5,83.44,951.38,6.0,11.2,810,61,14,12,26
BOI,43.56444444,-116.2227778,48148,24071,24077,87.19,87.19,89.32,73.23,812.21,9.29,11.8,212,20,12,12,24
SYR,43.11118694,-76.10631056,45279,22628,22651,96.88,96.88,96.28,75.93,746.69,5.92,10.48,842,75,14,12,26
DAY,39.90237583,-84.219375,43701,21853,21848,86.44,86.44,85.43,65.49,631.62,5.89,9.12,918,66,12,12,24
JAN,32.31116667,-90.07588889,36548,18348,18200,77.29,77.29,78.66,62.59,636.19,6.51,6.43,272,29,12,13,25
GRR,42.88081972,-85.52276778,33596,16800,16796,63.33,63.33,64.14,44.57,366.99,5.29,9.28,520,28,7,6,13
MDT,40.19349528,-76.76340361,29883,14947,14936,84.0,84.0,83.49,64.67,612.49,5.4,11.53,663,30,11,9,20
ISP,40.7952425,-73.10021194,29255,14627,14628,119.12,119.12,121.51,104.44,1044.1,6.91,5.86,226,48,9,10,19
CHS,32.89864639,-80.04050583,27866,13943,13923,69.81,69.81,70.4,51.31,451.37,5.62,8.87,510,29,8,6,14
GSP,34.89566722,-82.21885833,27644,13828,13816,66.71,66.71,67.81,45.96,380.61,5.13,6.3,739,24,5,5,10
TYS,35.81248722,-83.99285583,27428,13698,13730,74.17,74.17,74.86,55.18,470.9,6.83,7.77,341,34,9,7,16
DSM,41.53493306,-93.66068222,27149,13577,13572,81.74,81.74,81.18,62.65,635.75,6.85,10.82,388,24,7,7,14
ICT,37.64995889,-97.43304583,25889,12948,12941,91.66,91.66,91.51,71.28,751.6,5.64,10.06,508,18,7,7,14
ABE,40.65236278,-75.44040167,24782,12391,12391,95.03,95.03,95.13,76.06,753.87,6.63,10.19,559,49,7,7,14
PWM,43.64616667,-70.30875,24063,12031,12032,115.11,115.11,115.1,96.59,979.67,6.27,9.55,460,48,11,11,22
PNS,30.47330556,-87.18744444,23651,11805,11846,73.54,73.54,73.7,55.49,535.18,4.86,7.7,278,29,8,8,16
MAF,31.94252778,-102.2019139,23444,11722,11722,64.97,64.97,66.09,54.69,588.65,7.2,8.91,202,29,7,7,14
LBB,33.66363889,-101.8227778,23359,11680,11679,60.98,60.98,62.03,50.9,531.96,8.09,8.94,228,26,6,6,12
HSV,34.6404475,-86.77310944,23261,11630,11631,75.94,75.94,75.39,55.13,492.5,4.54,7.99,504,24,5,4,9
FAI,64.8136775,-147.8596694,21787,10893,10894,87.04,87.04,86.44,72.44,801.73,7.92,11.16,527,57,5,4,9
CID,41.88458833,-91.71087222,21030,10515,10515,63.63,63.63,62.99,46.31,415.3,5.93,9.12,592,6,4,5,9
SAV,32.12758333,-81.20213889,20919,10459,10460,63.62,63.62,63.77,44.36,351.65,6.46,8.83,233,10,3,4,7
SRQ,27.39533333,-82.55411111,20334,10156,10178,114.93,114.93,115.94,95.57,1026.5,6.0,7.53,137,28,10,10,20
HPN,41.06695778,-73.70757444,19924,9967,9957,129.89,129.89,128.42,105.55,1063.43,8.49,12.71,1073,25,7,6,13
CAE,33.93884,-81.11953944,19455,9727,9728,55.84,55.84,56.74,35.98,237.79,5.69,7.25,470,9,3,2,5
AMA,35.2193725,-101.7059272,19162,9584,9578,65.42,65.42,66.43,53.03,559.83,7.77,12.11,202,16,4,4,8
BTR,30.53316083,-91.14963444,18241,9117,9124,70.38,70.38,71.72,53.35,528.98,5.45,4.52,171,25,6,7,13
JNU,58.35496194,-134.5762764,17947,8973,8974,83.83,83.83,84.21,68.98,757.3,14.99,12.75,261,91,7,7,14
OGG,20.89864972,-156.4304578,17310,8668,8642,213.67,213.67,213.19,196.97,2755.27,8.12,3.98,88,33,10,10,20
MOB,30.69141667,-88.24283333,17277,8615,8662,66.88,66.88,68.5,49.31,456.71,6.6,7.53,290,9,5,5,10
PSP,33.82921556,-116.5062531,17213,8607,8606,132.32,132.32,132.24,113.19,1342.08,8.83,10.69,142,55,11,11,22
MSN,43.13985778,-89.33751361,17084,8543,8541,66.95,66.95,68.18,47.06,388.21,4.64,9.31,276,18,3,3,6
HRL,26.22850611,-97.65439389,16635,8317,8318,54.09,54.09,54.65,44.84,432.85,9.15,10.4,153,45,4,4,8
MBS,43.53291472,-84.07964722,15396,7698,7698,58.95,58.95,59.23,40.98,324.86,4.36,9.25,345,10,3,3,6
SHV,32.4466275,-93.82559833,14801,7393,7408,68.71,68.71,68.97,52.55,497.46,6.77,6.55,203,7,6,6,12
FSD,43.58135111,-96.74170028,14706,7353,7353,70.62,70.62,72.34,52.25,510.49,2.95,5.22,106,5,3,3,6
LEX,38.03697222,-84.60538889,14557,7252,7305,61.76,61.76,62.17,44.12,369.78,10.02,9.33,245,11,3,4,7
LGB,33.81772222,-118.1516111,14005,7004,7001,134.99,134.99,132.88,113.59,1361.42,5.49,4.87,248,16,3,4,7
MFE,26.17583333,-98.23861111,13867,6934,6933,78.27,78.27,77.95,60.55,580.83,4.67,8.96,73,20,3,3,6
CRP,27.77036083,-97.50121528,12222,6112,6110,45.75,45.75,46.49,34.71,303.79,7.28,9.39,104,37,2,2,4
BIL,45.8076625,-108.5428611,11866,5933,5933,93.53,93.53,96.02,75.62,860.99,4.28,9.24,127,11,5,5,10
LNK,40.85097222,-96.75925,11554,5777,5777,79.83,79.83,79.67,63.06,655.89,7.46,9.76,138,4,3,3,6
STT,18.33730556,-64.97336111,10830,5414,5416,149.74,149.74,150.56,128.89,1491.1,6.05,8.26,116,12,8,11,19
GRB,44.48507333,-88.12959,10664,5333,5331,70.84,70.84,73.37,50.99,436.92,3.68,8.16,111,8,2,2,4
BTV,44.47300361,-73.1503125,10620,5310,5310,101.56,101.56,100.72,83.65,809.25,10.01,16.76,191,20,3,3,6
KTN,55.35556861,-131.71374,9894,4947,4947,79.88,79.88,79.53,66.21,718.4,11.2,14.19,147,35,4,4,8
SBN,41.70895361,-86.31847417,9888,4945,4943,61.84,61.84,61.52,45.69,420.24,2.82,5.65,182,12,3,3,6
FAR,46.91934889,-96.81498889,9848,4924,4924,58.42,58.42,61.63,41.77,358.88,1.89,5.2,90,8,1,1,2
MYR,33.67975,-78.92833333,9809,4904,4905,57.17,57.17,56.25,41.01,335.17,3.2,9.0,94,8,4,4,8
GTF,47.48200194,-111.3706853,9511,4753,4758,80.2,80.2,83.94,65.78,732.39,5.88,1.17,87,12,6,5,11
ROA,37.32546833,-79.97542833,9252,4626,4626,53.24,53.24,51.74,38.43,296.2,3.69,7.33,262,7,2,2,4
LAN,42.7787,-84.58735806,9182,4591,4591,48.96,48.96,49.97,31.9,203.16,4.17,6.87,134,11,3,3,6
TLH,30.39652778,-84.35033333,8928,4462,4466,65.15,65.15,65.47,45.83,358.88,8.8,10.9,159,5,1,1,2
RST,43.90882639,-92.49798722,8853,4430,4423,58.58,58.58,56.41,38.63,318.73,3.62,10.1,235,9,2,2,4
DAB,29.17991667,-81.05805556,8801,4400,4401,91.52,91.52,90.91,71.45,727.52,6.98,8.04,61,4,2,2,4
MLU,32.51086556,-92.03768778,8689,4334,4355,59.73,59.73,59.66,43.26,421.1,5.01,7.36,87,26,6,5,11
EUG,44.12326,-123.2186856,8644,4323,4321,94.83,94.83,95.9,79.91,874.6,17.0,16.6,110,16,2,3,5
SBA,34.42621194,-119.8403733,8555,4278,4277,51.87,51.87,54.05,39.31,342.05,16.83,14.14,162,5,2,2,4
ILM,34.27061111,-77.90255556,8539,4270,4269,53.99,53.99,53.4,39.58,297.73,2.3,7.96,142,7,1,1,2
SGF,37.24432611,-93.38685806,8241,4121,4120,55.19,55.19,55.59,38.55,313.82,2.68,4.21,127,0,1,1,2
MSO,46.91630556,-114.0905556,8024,4009,4015,88.06,88.06,89.91,72.57,823.45,2.67,4.31,48,16,3,4,7
MLI,41.44852639,-90.50753917,7690,3846,3844,55.25,55.25,55.64,39.36,300.85,4.07,4.91,141,1,2,2,4
BZN,45.77690139,-111.1530072,7128,3558,3570,106.96,106.96,109.95,89.04,1041.38,2.85,8.32,27,9,3,3,6
MLB,28.10275,-80.64580556,6495,3248,3247,91.07,91.07,89.84,71.35,712.94,4.48,7.14,44,2,1,1,2
AVP,41.33814944,-75.7242675,6487,3243,3244,59.36,59.36,58.92,44.76,341.03,2.88,12.99,143,7,3,2,5
KOA,19.73876583,-156.0456314,6465,3233,3232,193.58,193.58,191.51,179.03,2475.78,5.9,5.65,28,6,5,5,10
AVL,35.43619444,-82.54180556,6014,3007,3007,40.19,40.19,39.51,24.29,148.06,0.3,3.14,120,5,1,1,2
PSC,46.26468028,-119.1190292,5794,2897,2897,73.08,73.08,73.35,58.3,676.74,0.51,2.9,62,2,2,2,4
BIS,46.77411111,-100.7467222,5686,2843,2843,76.09,76.09,80.24,60.99,621.21,1.96,5.99,36,6,1,1,2
MFR,42.37422778,-122.8734978,5677,2839,2838,82.09,82.09,82.18,65.92,654.88,17.5,16.57,77,5,2,2,4
FAY,34.99147222,-78.88,5652,2826,2826,47.01,47.01,46.83,33.69,189.9,0.5,3.85,157,2,1,1,2
ERI,42.08202139,-80.17621556,5622,2811,2811,42.53,42.53,41.19,28.57,175.42,1.54,6.62,115,0,1,1,2
FCA,48.31140472,-114.2550694,5549,2832,2717,75.47,75.47,78.55,59.36,665.75,27.02,3.16,31,20,5,5,10
ITH,42.49102778,-76.45844444,5426,2713,2713,46.18,46.18,43.25,30.12,230.53,0.67,6.73,88,9,2,2,4
ELM,42.15991361,-76.89144333,5424,2712,2712,46.8,46.8,45.77,33.16,258.4,0.96,6.13,80,4,2,2,4
AZO,42.234875,-85.5520575,5374,2687,2687,63.04,63.04,64.84,46.5,377.51,3.73,6.24,82,6,3,3,6
SWF,41.50409361,-74.10483833,5289,2644,2645,136.54,136.54,135.67,114.92,1147.88,7.01,13.41,149,7,4,3,7
SIT,57.04713806,-135.3615983,5280,2640,2640,45.43,45.43,44.28,32.88,280.31,10.4,13.99,35,30,3,3,6
FNT,42.96550333,-83.74345639,5057,2529,2528,42.24,42.24,41.33,20.85,116.97,4.2,10.79,69,3,2,2,4
TRI,36.47521417,-82.40742056,5023,2512,2511,38.94,38.94,38.67,26.64,193.12,0.84,2.95,157,2,1,1,2
LIH,21.97598306,-159.3389581,5009,2504,2505,132.82,132.82,133.15,122.98,1635.99,2.48,2.86,47,3,4,4,8
RAP,44.04532139,-103.0573708,4940,2470,2470,86.4,86.4,90.4,70.38,788.58,2.37,4.31,30,7,1,1,2
CRW,38.37315083,-81.59318972,4930,2465,2465,47.7,47.7,46.7,33.79,263.93,4.18,8.37,142,1,1,1,2
AGS,33.369955,-81.96449611,4890,2445,2445,53.74,53.74,56.07,33.0,224.57,3.66,6.73,63,0,2,1,3
VPS,30.48325,-86.5254,4806,2403,2403,79.97,79.97,81.3,64.96,593.85,0.07,4.6,24,4,1,1,2
EGE,39.64256778,-106.9176953,4637,2321,2316,157.81,157.81,155.97,127.77,1643.37,11.78,17.17,69,31,10,10,20
MGM,32.30064417,-86.39397611,4523,2262,2261,57.06,57.06,57.54,38.12,326.89,3.03,6.92,39,3,3,1,4
GPT,30.40728028,-89.07009278,4343,2172,2171,69.43,69.43,73.18,56.55,521.43,-1.41,0.29,23,2,1,1,2
DLH,46.84209028,-92.19364861,4321,2160,2161,49.3,49.3,51.87,33.28,232.93,3.11,4.63,97,2,2,2,4
GFK,47.949255,-97.17611111,4257,2128,2129,64.24,64.24,67.43,50.19,457.05,2.33,5.78,42,2,1,1,2
MOT,48.25937778,-101.2803339,4196,2098,2098,82.78,82.78,86.69,66.99,722.59,1.8,2.96,23,5,1,1,2
CHA,35.03526833,-85.20378778,4164,2082,2082,59.42,59.42,59.0,45.62,389.36,0.22,3.11,85,6,2,1,3
TVC,44.74144472,-85.582235,4147,2073,2074,61.2,61.2,61.85,41.67,352.44,7.22,8.66,39,5,2,2,4
CAK,40.91631194,-81.44246556,4140,2070,2070,37.39,37.39,38.16,22.27,112.65,1.37,5.4,79,0,1,1,2
BET,60.77977639,-161.8379975,4132,2066,2066,68.09,68.09,68.96,57.18,642.13,15.21,14.75,143,4,1,1,2
TOL,41.58680556,-83.80783333,3873,1936,1937,54.14,54.14,54.2,37.76,323.48,2.38,10.99,137,3,1,2,3
BRW,71.2854475,-156.7660019,3822,1911,1911,85.16,85.16,87.1,75.96,895.12,11.36,9.08,224,57,2,2,4
OME,64.51220222,-165.4452458,3726,1863,1863,75.96,75.96,77.01,65.21,737.96,15.87,14.68,103,22,2,2,4
BGM,42.20848278,-75.97961361,3662,1831,1831,62.75,62.75,59.17,47.33,403.94,5.67,9.45,83,4,1,1,2
STX,17.70188889,-64.79855556,3590,1796,1794,179.06,179.06,177.74,157.13,1840.34,3.83,6.19,46,18,3,2,5
OTZ,66.88467694,-162.5985497,3544,1772,1772,65.02,65.02,66.19,54.62,587.69,15.71,14.61,102,21,2,2,4
JAC,43.60732417,-110.7377389,3345,1673,1672,108.62,108.62,106.94,84.36,1010.43,14.06,18.4,54,9,5,5,10
HLN,46.60681806,-111.9827503,3135,1568,1567,69.5,69.5,72.35,55.15,587.35,3.2,3.76,26,2,2,2,4
WRG,56.48432583,-132.3698242,2908,1454,1454,25.88,25.88,24.81,16.8,90.93,14.62,17.07,93,32,2,2,4
PSG,56.80165194,-132.9452781,2908,1454,1454,29.49,29.49,29.61,20.19,123.92,16.33,17.95,103,32,2,2,4
CDV,60.49183389,-145.4776503,2907,1454,1453,44.38,44.38,42.44,34.45,300.14,14.11,15.84,51,4,2,2,4
ADQ,57.74996778,-152.4938553,2906,1453,1453,50.7,50.7,50.97,40.2,405.55,10.65,11.14,98,0,1,1,2
YAK,59.50336056,-139.6602261,2906,1453,1453,44.21,44.21,44.25,34.35,331.52,14.19,17.08,45,26,2,2,4
SUX,42.40260333,-96.38436694,2763,1382,1381,59.5,59.5,61.61,44.67,376.59,-0.24,4.43,22,1,1,1,2
DUT,53.90013889,-166.5435,2736,1368,1368,110.22,110.22,114.46,101.06,1274.6,14.89,12.63,348,2,1,1,2
HDN,40.48118028,-107.2176597,2600,1302,1298,126.7,126.7,127.02,102.83,1252.13,11.39,8.05,36,5,8,8,16
LSE,43.87937972,-91.25653778,2180,1090,1090,46.29,46.29,46.76,30.76,193.12,1.18,0.65,36,0,1,1,2
MRY,36.5869825,-121.8429478,2114,1058,1056,33.51,33.51,34.6,19.87,123.92,10.96,7.82,81,0,1,1,2
SCC,70.19475583,-148.4651608,1940,970,970,85.97,85.97,88.03,75.98,837.31,10.97,13.39,107,14,2,2,4
ITO,19.72026306,-155.0484703,1828,914,914,42.61,42.61,41.22,32.99,284.62,1.47,3.28,5,0,3,3,6
FWA,40.97846583,-85.19514639,1754,877,877,50.3,50.3,51.34,31.14,206.0,3.43,3.22,40,1,1,1,2
FAT,36.77619444,-119.7181389,1459,730,729,188.45,188.45,185.43,163.74,2113.06,5.49,9.72,14,5,1,1,2
AKN,58.67680167,-156.6492175,1334,667,667,42.85,42.85,43.97,33.03,315.72,11.69,14.03,45,10,2,1,3
DLG,59.0454125,-158.5033389,1238,619,619,57.89,57.89,59.48,48.14,529.47,16.92,17.23,48,11,1,2,3
PIA,40.66424333,-89.69330556,1109,555,554,53.95,53.95,52.53,36.68,220.45,3.75,0.77,20,0,2,1,3
MTJ,38.50886722,-107.8938333,995,498,497,119.1,119.1,119.94,100.06,1213.31,-0.58,2.38,1,1,5,5,10
GUC,38.53396333,-106.9331817,868,434,434,136.93,136.93,134.93,110.62,1473.81,6.18,13.11,9,3,3,3,6
BFL,35.43359806,-119.0567681,480,239,241,179.53,179.53,177.84,159.63,2045.47,1.13,7.34,1,0,1,1,2
DRO,37.15151667,-107.7537692,460,230,230,110.87,110.87,111.36,86.94,1084.7,5.24,7.07,2,3,1,1,2
GST,58.42438139,-135.7073814,378,189,189,25.84,25.84,25.0,14.63,65.98,12.96,11.57,3,0,1,1,2
BGR,44.80744444,-68.82813889,358,180,178,47.21,47.21,46.33,31.59,251.06,2.45,4.16,7,4,2,2,4
LWB,37.85830556,-80.39947222,326,163,163,73.38,73.38,71.28,60.3,583.93,5.09,5.34,4,0,3,3,6
BRO,25.90683333,-97.42586111,296,148,148,69.04,69.04,67.03,52.42,495.68,2.88,6.62,4,2,1,1,2
MIB,48.415769,-101.358039,178,89,89,78.58,78.58,85.72,65.82,735.47,-7.14,1.43,1,0,1,1,2
BQN,18.49486111,-67.12944444,35,17,18,237.81,237.81,235.0,213.0,2550.8,-5.38,9.76,1,0,1,1,2
LFT,30.20527972,-91.987655,18,9,9,106.44,106.44,111.67,92.22,1089.52,-2.56,-6.22,0,0,4,2,6
